id,CT_11,TR_12,TR_13,TR_14,TR_15,CT_16,CT_17
1,57,36,65,19,0,63,59
2,28,49,3,14,15,22,33
3,60,24,35,92,41,17,98
4,34,46,5,25,24,54,71
5,34,50,49,100,56,19,10
6,83,49,24,6,68,46,7
7,98,60,19,76,56,32,28
8,16,94,58,16,70,34,5
9,18,30,73,55,18,87,76
10,57,95,53,2,29,85,38
11,73,83,33,50,10,66,80
12,98,37,83,12,98,20,52
13,13,5,44,92,63,61,71
14,53,6,48,72,21,85,56
15,40,76,56,45,15,77,14
16,70,7,72,9,77,95,95
17,96,88,86,90,69,44,1
18,38,24,51,4,76,20,62
19,46,18,65,75,47,76,17
20,65,82,32,92,69,44,0
21,85,28,49,30,79,9,15
22,47,76,69,14,57,50,70
23,73,16,23,60,7,4,10
24,24,68,4,26,52,26,97
25,58,59,70,67,65,87,45
26,4,95,13,53,100,38,42
27,32,76,5,86,72,82,78
28,96,85,95,9,86,7,48
29,12,0,56,20,84,63,10
30,53,11,66,28,60,52,38
31,76,50,11,2,59,83,92
32,52,34,1,71,39,4,19
33,1,27,37,29,28,55,35
34,40,34,35,7,50,94,63
35,24,76,54,49,69,0,59
36,89,88,29,67,21,2,92
37,29,27,57,28,30,44,81
38,30,25,61,65,50,21,61
39,70,74,41,4,75,68,27
40,48,62,42,74,57,72,34
41,86,43,97,67,73,61,55
42,92,84,84,20,54,54,2
43,52,96,49,27,88,11,1
44,17,85,21,40,55,40,25
45,72,91,86,5,27,73,87
46,48,44,71,75,65,62,48
47,96,6,82,30,59,50,90
48,97,35,14,94,47,75,79
49,29,75,9,29,51,7,47
50,67,49,27,28,84,26,16
51,93,52,60,13,47,29,67
52,66,24,13,78,49,82,32
53,53,56,97,99,38,60,78
54,31,1,61,32,26,71,42
55,63,14,27,87,24,22,3
56,10,52,6,95,6,67,29
57,61,77,80,7,29,32,70
58,58,35,94,62,33,84,86
59,51,33,19,30,31,45,88
60,83,65,0,75,2,54,33
61,94,52,92,76,25,87,100
62,46,43,42,31,8,75,15
63,57,96,1,40,92,40,38
64,56,27,53,67,65,66,89
65,48,54,73,60,48,50,81
66,78,33,82,26,88,40,1
67,92,40,77,28,64,96,50
68,83,73,9,12,30,91,43
69,68,100,27,90,39,33,58
70,66,66,10,31,16,88,47
71,45,54,8,54,34,47,5
72,42,29,62,88,13,81,51
73,13,86,28,53,94,34,55
74,95,21,15,9,78,89,67
75,28,30,56,41,48,81,89
76,81,72,49,41,7,39,28
77,40,38,51,4,61,11,67
78,80,7,17,26,56,93,57
79,18,68,82,86,53,31,25
80,28,48,73,24,77,61,89
81,48,49,89,77,88,59,48
82,97,60,20,89,4,13,60
83,54,83,35,99,98,12,60
84,6,34,84,5,89,94,0
85,15,68,57,94,81,59,58
86,42,32,93,57,91,79,14
87,60,88,0,98,35,78,42
88,35,60,51,43,30,37,81
89,20,71,85,18,11,92,87
90,25,47,5,95,28,93,60
91,74,48,91,2,96,96,69
92,82,17,80,100,83,9,65
93,33,39,99,46,7,32,52
94,23,74,99,45,16,72,45
95,56,29,61,43,37,13,98
96,96,28,3,20,16,19,53
97,98,50,32,91,81,45,55
98,98,44,2,18,81,78,11
99,77,63,3,45,50,42,99
100,14,64,4,84,54,74,38
101,58,51,68,78,47,27,98
102,70,20,94,11,19,49,83
103,80,0,32,29,24,97,86
104,1,71,29,69,64,40,28
105,93,26,77,8,75,84,9
106,50,77,13,90,68,40,13
107,59,92,34,83,71,51,55
108,72,90,68,29,99,77,57
109,55,29,95,69,19,90,28
110,76,47,71,26,86,88,81
111,43,4,55,24,85,42,48
112,31,30,87,79,61,76,22
113,5,0,84,18,75,46,3
114,30,24,73,50,13,29,21
115,96,15,75,47,66,14,12
116,100,54,3,62,22,99,70
117,18,20,6,78,71,76,31
118,91,2,68,32,3,87,86
119,57,91,27,18,87,1,33
120,28,83,56,86,93,70,41
121,78,96,80,31,38,85,80
122,15,82,38,78,2,32,94
123,65,84,9,65,41,99,82
124,70,51,100,19,79,97,81
125,31,67,43,72,52,34,9
126,36,26,44,62,49,67,53
127,53,15,46,36,11,56,3
128,91,84,0,97,63,80,10
129,79,51,62,75,81,27,85
130,21,68,44,3,32,72,69
131,84,71,65,66,47,41,8
132,29,2,0,9,13,71,35
133,45,16,29,18,34,1,56
134,65,89,59,57,22,85,58
135,97,37,87,64,13,93,75
136,0,81,16,92,23,14,36
137,24,5,96,8,45,12,3
138,52,88,54,89,67,47,57
139,61,68,94,97,53,10,0
