id,CT_21,CT_22,CT_23,TR_24,CT_25,CT_26,TR_27,TR_28,TR_29
1,13,60,80,17,67,58,22,17,97
2,80,80,95,43,71,90,92,76,29
3,43,4,10,79,95,7,81,25,68
4,18,45,40,6,93,36,93,93,46
5,45,41,45,59,39,52,3,78,78
6,76,64,55,41,25,59,21,91,61
7,28,39,50,10,45,17,5,98,64
8,84,76,78,62,0,79,34,61,2
9,19,1,6,83,34,56,87,8,76
10,36,94,35,15,99,24,88,28,24
11,57,71,34,50,86,38,69,11,41
12,30,37,28,100,22,16,33,21,98
13,97,35,66,26,47,69,47,73,89
14,99,94,51,81,73,5,73,54,42
15,19,89,78,100,96,34,96,17,89
16,22,9,68,58,79,92,89,76,13
17,41,37,66,67,4,49,37,65,36
18,82,0,44,89,70,26,21,91,67
19,82,10,96,35,44,33,72,57,71
20,66,94,5,13,61,63,40,69,72
21,2,45,69,91,80,13,98,20,96
22,28,33,21,9,9,41,97,39,96
23,3,16,76,49,27,31,70,69,24
24,69,4,31,28,58,46,67,1,30
25,66,35,65,8,15,87,31,39,8
26,9,34,40,7,43,65,35,84,76
27,43,15,87,19,8,67,91,33,0
28,43,65,36,4,77,34,80,89,22
29,28,33,92,77,93,83,95,84,84
30,4,96,95,62,68,86,51,91,34
31,84,87,30,31,53,16,58,52,50
32,98,48,86,39,48,70,32,70,91
33,97,31,25,10,64,49,71,80,75
34,64,5,56,44,59,94,19,34,24
35,61,50,97,60,39,96,76,42,12
36,75,51,31,97,50,55,12,25,95
37,35,100,39,99,48,86,44,96,78
38,21,9,22,46,54,33,40,38,55
39,52,46,9,20,2,100,75,88,68
40,92,49,17,93,76,22,97,14,100
41,0,94,88,70,14,4,19,61,34
42,8,32,37,58,26,46,71,34,72
43,60,97,16,92,87,65,2,54,85
44,28,64,37,76,97,84,59,52,90
45,56,81,64,66,42,78,35,19,34
46,36,47,54,64,96,7,82,92,37
47,27,76,82,63,46,49,85,17,58
48,10,50,29,54,94,33,47,96,66
49,33,49,54,45,70,20,17,55,96
50,65,29,67,76,34,25,71,74,88
51,18,9,96,72,64,63,47,39,16
52,67,32,45,31,88,85,100,83,8
53,47,10,93,90,87,86,55,33,67
54,2,79,5,10,18,82,100,7,59
55,97,41,67,44,11,66,14,8,74
56,30,26,14,46,7,58,59,89,85
57,50,74,91,100,45,76,1,40,99
58,40,86,26,56,85,54,69,34,45
59,39,87,19,50,87,23,72,3,33
60,0,54,61,42,0,84,24,57,4
61,89,27,12,89,79,3,22,94,99
62,34,95,45,93,38,52,58,56,41
63,77,100,64,21,98,68,11,100,16
64,52,22,7,58,99,63,62,36,29
65,41,4,82,39,50,93,65,33,15
66,23,90,29,22,86,72,2,41,31
67,53,20,84,47,93,76,61,64,64
68,73,9,37,98,98,36,64,40,52
69,82,93,39,32,37,65,12,68,48
70,83,92,95,35,97,10,90,38,34
71,41,64,59,93,81,16,60,34,39
72,32,79,75,5,79,31,48,40,52
73,47,8,16,96,51,61,85,70,71
74,61,65,13,27,61,14,68,31,80
75,85,70,86,76,8,4,36,42,4
76,8,35,5,54,35,99,22,51,5
77,4,38,14,53,55,23,97,64,85
78,66,57,31,91,65,11,77,49,64
79,3,65,71,39,4,27,12,12,16
80,22,17,59,5,81,92,86,73,21
81,71,89,0,11,73,10,54,23,94
82,12,14,84,46,90,0,100,59,22
83,4,3,18,46,27,91,58,20,76
84,41,38,46,26,13,94,34,87,95
85,63,15,7,66,45,1,67,61,91
86,46,55,21,72,0,52,72,7,51
87,84,56,87,95,37,41,31,11,45
88,28,96,44,74,21,23,27,52,38
89,34,51,60,95,100,41,3,60,58
90,42,3,47,45,76,82,97,75,38
91,81,4,100,30,48,93,18,93,79
92,62,95,23,88,76,29,49,18,76
93,54,94,78,19,49,80,35,21,63
94,15,50,41,56,74,53,69,20,20
95,4,34,99,60,36,97,55,27,65
96,41,7,78,34,34,61,55,92,26
97,61,45,85,48,69,55,29,83,2
98,59,57,63,59,82,5,78,67,8
99,68,95,87,75,82,71,31,18,63
100,0,63,86,80,68,48,18,14,12
101,4,2,85,8,79,42,42,89,73
102,59,74,22,48,87,19,95,92,28
103,46,21,86,0,13,54,97,0,63
104,35,31,84,90,100,26,91,67,84
105,54,37,35,7,70,95,85,76,94
106,92,30,76,100,45,45,71,83,81
107,52,100,32,57,93,57,34,13,80
108,88,72,74,51,78,33,99,74,88
109,53,94,4,77,50,75,59,57,40
110,91,30,27,82,14,57,92,30,73
111,8,50,24,0,63,40,18,31,27
112,36,41,97,21,59,25,19,26,48
113,91,32,36,90,46,63,8,21,65
114,4,9,28,11,33,8,12,80,37
115,12,51,24,48,68,18,16,30,84
116,41,27,69,1,79,57,6,24,7
117,18,22,96,12,43,85,36,81,11
118,35,92,65,28,92,22,51,72,68
119,14,24,0,39,81,15,71,21,69
120,7,35,19,61,88,92,14,10,51
121,77,31,35,85,21,20,89,19,53
122,62,92,82,98,66,48,11,76,58
123,39,24,38,48,72,93,77,77,38
124,23,11,1,92,93,37,75,21,77
125,82,93,56,71,1,13,63,37,44
126,74,33,26,14,61,36,20,88,5
127,5,87,89,66,52,82,21,69,14
128,1,20,21,35,71,84,53,21,22
129,55,27,11,14,69,92,92,96,80
130,9,25,60,88,77,80,91,12,79
131,70,74,14,58,20,67,87,13,7
132,35,91,93,11,83,81,80,44,75
133,48,15,52,39,26,28,35,4,8
134,4,85,37,12,41,38,78,92,36
135,46,61,2,50,53,52,87,46,22
136,93,29,42,49,25,14,53,71,47
137,64,89,80,86,46,39,63,23,3
138,37,5,50,94,49,70,19,49,77
139,57,85,59,24,5,66,0,2,59
140,51,65,38,46,20,4,31,3,87
141,75,0,41,67,21,64,67,11,57
142,87,36,60,28,6,52,42,81,75
143,56,62,39,100,96,39,3,70,57
144,90,3,88,9,93,39,37,71,22
145,9,27,60,7,20,59,9,51,83
146,93,39,4,58,98,87,56,21,3
147,23,59,83,0,45,100,2,40,61
148,40,82,22,8,61,43,37,80,13
149,59,38,26,74,73,43,91,18,52
150,86,40,40,73,9,53,49,53,52
151,78,80,5,8,88,9,83,33,2
152,0,8,81,89,65,27,17,84,37
153,26,12,99,23,89,38,16,31,45
154,18,79,86,89,91,23,27,77,8
155,78,95,87,82,81,12,44,2,37
156,2,45,11,75,10,33,70,13,74
157,53,29,85,6,3,91,51,39,65
158,41,45,10,87,55,22,12,80,31
159,71,97,95,43,56,63,2,49,23
160,6,23,97,99,69,87,93,74,39
161,71,57,80,37,48,47,80,93,56
162,95,35,72,56,82,81,65,73,89
163,6,16,49,11,26,75,12,56,10
164,26,86,63,94,55,12,46,15,75
165,79,7,93,27,85,16,4,6,26
166,92,10,36,27,2,86,18,65,82
167,8,67,16,68,63,43,51,65,20
168,2,77,5,18,77,27,100,79,11
169,62,81,73,21,65,58,98,38,81
170,28,73,86,38,22,93,26,7,32
171,11,25,23,28,75,43,26,32,27
172,13,86,98,30,99,81,0,56,3
173,75,12,6,5,48,56,71,27,60
174,58,79,5,82,50,8,79,88,97
175,30,76,0,59,60,19,8,33,36
176,66,91,67,92,62,44,23,96,53
177,37,52,73,64,27,24,37,4,77
178,6,38,53,68,13,59,70,21,81
179,6,18,96,93,99,90,42,39,62
180,79,89,11,11,14,99,62,67,28
181,70,57,52,66,45,95,79,48,9
182,91,71,72,77,80,40,23,54,60
183,19,87,97,54,95,67,13,19,68
184,86,19,21,44,87,82,51,40,49
185,25,98,8,47,75,34,68,30,91
186,25,94,67,9,24,13,22,42,97
187,24,97,18,90,38,62,52,64,15
188,3,46,72,69,90,27,2,45,21
189,5,20,60,61,73,92,58,11,8
190,65,71,1,6,61,92,87,50,38
191,36,90,16,81,13,78,20,58,79
192,84,56,99,90,77,14,86,20,6
193,25,45,81,91,25,44,70,53,68
194,40,75,71,21,0,91,37,68,79
195,87,5,28,9,77,38,90,16,75
196,10,59,31,22,35,46,34,6,53
197,63,63,58,74,80,7,27,26,79
198,83,32,9,38,34,44,30,28,31
199,86,41,82,21,5,37,42,94,88
200,85,93,38,52,41,9,97,75,54
201,94,69,61,48,57,10,0,33,4
202,57,31,59,40,52,57,93,41,2
203,95,16,45,28,56,71,69,50,96
204,29,29,10,91,62,39,61,57,58
205,35,50,94,98,30,19,43,41,5
206,64,54,54,42,18,24,1,68,60
207,20,9,99,90,40,75,26,49,80
208,45,1,98,13,10,54,70,57,39
209,72,3,50,52,20,48,45,44,8
210,67,75,81,46,63,93,75,0,6
211,71,3,84,95,6,4,0,42,10
212,95,47,35,23,63,6,84,94,37
213,6,97,99,21,66,22,38,70,7
214,22,66,75,32,3,12,98,87,11
215,23,53,35,90,62,14,25,34,94
216,34,66,86,59,3,59,24,39,18
217,8,66,48,32,82,61,87,76,11
218,60,32,87,25,39,75,91,87,23
219,87,89,19,6,76,52,0,76,31
220,55,46,0,93,40,63,16,1,71
221,100,38,11,65,57,67,3,30,96
222,40,8,10,58,44,0,57,29,78
223,82,64,43,10,74,22,10,42,2
224,67,9,16,47,49,28,11,3,64
225,93,83,34,98,18,13,81,59,68
226,50,96,44,67,6,39,11,73,1
227,61,4,78,81,60,73,75,0,33
228,63,54,78,39,49,75,63,91,34
229,68,90,44,19,67,89,86,56,95
230,21,19,10,65,95,29,1,100,71
231,14,91,55,18,10,74,26,93,84
232,98,65,13,85,66,31,29,68,85
233,22,30,32,98,22,44,4,80,30
234,16,49,44,9,75,64,20,10,73
235,89,64,85,41,2,40,57,50,98
236,82,0,41,90,73,64,8,0,68
237,14,76,7,3,5,44,67,25,93
238,59,48,9,74,94,42,24,99,40
239,71,78,40,43,31,35,81,55,90
240,36,96,59,30,45,11,67,88,64
241,55,81,78,34,89,82,16,29,52
242,5,11,56,70,15,55,79,25,69
243,15,41,38,39,35,37,80,50,76
244,97,54,39,30,69,60,85,56,16
245,55,85,77,30,66,13,32,82,37
246,48,59,28,50,57,93,56,98,9
247,1,16,52,100,18,59,100,17,93
248,41,14,34,28,93,98,93,28,26
249,40,68,38,5,37,74,49,1,64
250,16,78,10,13,92,18,59,92,22
251,90,5,12,38,34,26,58,97,36
252,43,81,15,31,64,49,20,90,1
253,16,76,38,55,41,46,4,85,72
254,68,26,84,93,46,37,35,33,13
255,12,2,79,88,29,57,14,42,25
256,39,60,33,83,0,40,95,46,67
257,77,28,25,14,45,90,37,48,36
258,77,9,89,51,87,42,18,40,12
259,33,56,50,82,53,47,0,29,67
260,17,60,36,46,84,1,42,16,41
261,36,37,42,9,36,92,76,82,37
262,52,23,41,9,3,72,70,1,71
263,64,56,93,14,7,94,12,85,61
264,4,28,11,95,80,89,25,31,25
265,98,93,35,36,59,17,94,26,20
266,80,87,8,84,24,29,0,92,31
267,18,24,77,78,9,87,87,70,4
268,34,79,32,43,35,88,67,12,90
269,86,27,9,78,96,41,20,80,65
270,61,7,0,71,76,43,49,85,98
271,30,98,3,9,12,70,3,41,35
272,61,54,57,64,87,27,52,92,19
273,49,39,64,15,62,14,47,3,34
274,25,20,39,72,68,80,58,36,10
275,76,15,58,90,60,62,53,44,13
276,34,31,66,55,82,90,35,0,7
277,21,3,17,77,29,92,0,29,52
278,67,70,51,52,43,50,29,69,81
279,6,56,28,28,71,17,90,83,17
280,87,3,5,35,65,56,65,46,81
281,47,75,28,5,72,42,13,21,66
282,29,67,66,21,64,82,20,24,21
283,40,85,0,8,73,5,16,44,4
284,7,62,78,42,56,26,10,25,24
285,23,49,10,63,73,6,84,30,20
286,25,15,25,16,95,80,62,47,20
287,71,3,2,17,28,57,95,6,48
288,75,66,36,65,9,65,79,36,12
289,85,13,88,87,47,18,13,68,68
290,88,48,97,77,75,99,60,17,27
291,53,78,39,64,5,52,60,72,56
292,54,56,95,48,96,27,47,45,85
293,43,64,19,16,12,61,85,67,2
294,28,60,18,14,66,58,38,64,37
295,47,72,48,76,65,96,9,96,52
296,63,60,65,50,25,56,37,57,50
297,86,17,34,36,6,70,60,80,64
298,74,60,97,41,52,25,66,18,43
299,61,61,89,97,79,1,95,47,87
300,5,41,48,13,32,20,90,3,47
301,2,14,44,27,1,14,10,85,81
302,4,27,11,26,85,59,53,33,27
303,53,61,78,63,96,56,50,58,49
304,73,22,98,18,82,32,86,14,48
305,53,90,78,1,55,69,32,41,66
306,20,73,12,37,7,7,7,65,76
307,17,60,85,74,70,14,44,76,33
308,71,92,4,4,99,16,59,79,92
309,14,22,11,4,26,83,69,59,85
310,47,41,47,83,77,50,76,33,9
311,34,23,95,100,81,84,67,71,30
312,0,76,53,50,2,55,29,15,59
313,59,99,71,69,17,67,30,37,72
314,71,74,14,4,25,27,23,89,29
315,23,23,63,87,3,79,37,32,10
316,7,68,92,85,19,23,67,52,57
317,33,94,75,41,14,74,1,63,91
318,0,16,31,60,99,68,87,75,9
319,90,76,85,52,53,50,5,86,13
320,16,84,89,94,45,84,37,95,20
321,77,3,93,39,49,22,72,10,6
322,58,20,74,28,58,52,17,44,49
323,27,66,12,8,31,91,64,31,12
324,95,65,71,6,69,83,74,27,85
325,50,78,32,81,94,41,60,59,69
326,4,80,88,77,18,91,10,6,92
327,29,51,38,43,26,45,41,52,95
328,8,93,62,16,54,36,34,73,53
329,5,18,87,32,39,32,12,48,14
330,77,24,66,17,97,40,90,75,1
331,55,98,15,1,2,12,1,15,46
332,27,51,32,69,71,68,13,82,73
333,72,14,24,18,95,73,56,72,9
334,29,56,22,44,63,69,55,67,9
335,58,7,93,100,74,42,7,79,13
336,25,67,97,85,29,87,29,7,41
337,74,43,39,0,52,38,31,37,51
338,51,12,78,15,38,83,26,64,73
339,24,82,48,27,16,82,90,88,88
340,61,14,49,39,5,74,37,0,81
341,42,6,55,47,22,31,67,23,19
342,99,99,25,87,2,14,33,34,60
343,86,92,51,23,2,76,42,60,87
344,49,47,75,79,35,16,46,71,54
345,7,62,96,99,9,42,16,0,40
346,12,40,23,94,94,92,8,52,97
347,13,33,61,62,89,87,59,7,87
348,8,33,88,96,71,51,32,16,0
349,51,55,37,23,52,63,62,97,92
350,4,13,49,81,87,77,16,76,21
351,25,47,74,70,91,72,36,12,86
352,11,38,29,58,53,71,11,33,37
353,37,61,33,36,93,4,18,92,47
354,82,14,46,21,34,97,61,51,47
355,80,47,98,81,60,1,6,56,94
356,42,76,30,35,98,49,8,81,5
357,99,18,6,21,10,87,15,97,3
358,66,83,19,38,80,47,81,64,48
359,83,3,24,19,30,42,50,19,9
360,32,28,29,70,72,93,69,77,54
361,54,58,39,54,29,72,89,18,86
362,19,9,87,49,23,35,6,8,58
363,27,97,71,9,56,98,55,99,83
364,78,63,48,65,89,19,33,20,28
365,69,92,16,45,65,24,10,2,38
366,83,50,13,79,34,51,34,69,1
367,38,89,88,72,75,35,56,65,37
368,75,90,98,8,88,4,87,43,69
369,63,57,15,5,94,96,0,25,9
370,90,88,92,42,13,52,65,65,66
371,22,12,66,25,63,77,44,62,4
372,89,74,55,0,15,29,34,8,71
373,74,14,71,43,62,25,39,75,4
374,87,96,82,31,100,10,27,30,79
375,38,58,67,40,5,90,45,79,41
376,36,89,53,47,87,0,67,73,19
377,88,46,33,51,9,89,56,93,45
378,72,14,3,76,87,47,17,5,22
379,17,42,17,43,46,22,27,3,92
380,65,3,1,53,60,72,94,1,92
381,46,24,45,72,35,46,97,38,70
382,73,83,71,100,79,15,92,10,55
383,60,49,20,1,10,36,92,76,44
384,51,73,84,69,62,9,79,70,22
385,48,26,46,34,38,48,2,31,70
386,16,31,87,29,57,88,46,92,4
387,41,58,22,15,22,81,98,68,21
388,23,70,29,92,64,54,55,26,81
389,98,31,8,100,47,61,34,15,87
390,70,31,10,19,89,62,32,28,94
391,97,30,76,79,84,81,10,83,48
392,91,58,47,82,27,6,46,81,14
393,47,90,89,18,96,74,56,9,62
394,99,77,97,56,26,52,68,36,78
395,40,74,16,53,33,36,16,14,51
396,81,17,64,33,70,63,47,56,40
397,53,83,47,49,63,63,9,60,94
398,12,97,2,34,60,74,64,97,36
399,71,13,96,83,24,24,46,14,75
400,100,1,100,15,63,94,62,59,7
401,43,25,90,47,9,75,5,16,53
402,100,96,39,32,83,68,37,14,98
403,59,86,17,64,10,5,47,66,24
404,86,16,73,96,27,4,13,91,9
405,90,87,1,21,48,99,86,58,41
406,3,26,31,21,100,79,64,26,51
407,85,23,93,37,23,93,63,48,51
408,14,73,43,49,15,98,25,32,14
409,70,61,65,1,16,12,85,85,20
410,47,26,36,35,51,20,96,52,31
411,39,60,74,2,45,36,41,84,8
412,52,66,15,85,18,96,96,16,24
413,29,17,49,16,22,89,0,94,9
414,97,81,49,84,4,97,60,44,59
415,21,21,19,74,45,22,83,47,63
416,100,42,71,28,29,98,64,51,80
417,72,45,1,52,16,86,72,25,46
418,78,32,3,43,28,88,4,33,51
419,70,44,65,49,23,58,39,10,26
420,22,59,48,43,1,70,80,100,43
421,86,64,22,71,28,65,80,63,46
422,93,90,53,54,32,52,0,9,10
423,33,68,92,52,96,4,74,9,27
424,7,62,68,15,61,32,89,95,11
425,50,37,39,82,19,94,43,53,14
426,25,80,51,41,6,36,91,92,94
427,92,21,39,50,45,82,87,36,90
428,92,47,88,48,39,76,52,52,2
429,64,54,96,44,69,75,28,7,32
430,52,44,38,75,26,8,92,90,90
431,42,67,64,51,2,55,37,74,36
432,58,76,43,31,42,96,0,94,83
433,11,49,51,48,92,34,62,73,25
434,27,60,3,77,33,83,22,94,58
435,96,36,79,84,17,72,94,56,23
436,59,74,51,75,66,45,51,77,47
437,73,3,95,73,82,73,42,5,7
438,12,82,47,64,32,46,36,52,28
439,29,74,69,32,93,0,90,50,63
440,42,74,40,91,45,90,46,56,71
441,93,65,38,33,77,31,45,92,39
442,80,40,94,82,4,32,68,35,34
443,58,89,55,30,46,73,39,0,98
444,40,10,63,93,77,64,50,85,99
445,97,84,46,40,58,98,9,97,21
446,1,55,81,77,8,100,48,78,10
447,4,54,75,99,8,73,36,18,69
448,56,41,28,21,92,60,87,57,3
449,4,30,76,43,17,51,30,83,4
450,12,64,47,6,40,69,41,3,45
451,32,55,20,43,98,67,2,75,37
452,84,87,34,92,84,17,46,62,80
453,38,27,23,78,69,37,2,6,53
454,0,55,99,55,21,21,57,42,43
455,33,4,98,92,0,53,30,26,51
456,49,57,10,28,65,21,54,27,51
457,55,17,26,97,24,43,2,69,66
458,20,18,33,9,16,10,77,98,1
459,40,6,22,32,28,91,73,51,62
460,68,86,19,21,1,44,5,91,98
461,73,99,70,45,55,48,87,79,79
462,52,50,77,81,61,89,38,6,89
463,84,62,35,15,81,90,52,46,76
464,45,24,86,85,16,92,48,87,4
465,45,52,0,54,12,28,49,93,63
466,92,77,64,27,6,4,71,68,44
467,64,69,19,28,93,80,92,33,4
468,28,28,56,42,38,74,79,94,69
469,72,74,43,46,14,31,46,14,12
470,9,1,82,65,52,91,26,31,0
471,36,49,41,39,40,58,35,91,0
472,15,76,49,34,97,11,12,62,72
473,50,53,26,59,29,67,45,13,8
