id,CT_31,TR_32,CT_33,CT_34,TR_35,CT_36,CT_37,TR_38
1,88,36,19,85,94,66,54,73
2,35,22,42,63,81,15,74,32
3,71,6,56,4,49,84,73,54
4,99,23,41,12,49,68,13,98
5,0,90,60,53,3,62,17,7
6,37,90,96,6,0,2,32,38
7,60,0,47,96,87,60,52,0
8,48,75,50,41,95,73,38,10
9,27,53,61,75,63,93,28,47
10,35,74,94,51,21,36,20,65
11,8,94,61,49,10,37,64,41
12,5,52,70,73,90,37,92,40
13,70,25,31,82,85,89,72,63
14,64,19,26,62,99,42,95,46
15,15,31,84,64,10,37,22,92
16,93,11,47,80,22,84,78,98
17,88,76,95,12,82,95,25,50
18,76,75,40,54,99,81,100,56
19,3,21,34,9,98,8,90,35
20,22,28,35,31,29,29,61,25
21,49,50,37,60,11,23,61,84
22,6,81,73,49,14,2,88,32
23,20,54,92,26,16,94,34,43
24,7,19,7,83,88,95,82,21
25,71,79,97,14,51,35,73,17
26,88,60,57,1,16,9,19,90
27,59,85,59,58,65,69,70,74
28,92,85,85,76,29,17,22,15
29,66,45,15,68,42,71,92,39
30,71,83,13,68,16,5,17,73
31,83,63,76,88,21,43,83,4
32,73,31,64,67,31,9,15,8
33,55,45,89,6,8,56,97,86
34,14,24,59,48,23,63,54,71
35,34,92,80,82,88,3,42,21
36,84,21,78,8,30,51,0,67
37,94,39,21,56,26,38,68,34
38,91,19,60,17,26,52,61,97
39,69,83,86,14,1,20,4,26
40,40,91,55,73,62,90,63,34
41,32,19,57,25,45,57,41,13
42,47,63,64,30,85,61,46,17
43,63,43,89,95,18,100,25,44
44,35,0,28,43,70,97,35,96
45,70,4,21,95,12,62,0,99
46,45,39,4,81,63,83,50,3
47,12,29,80,4,58,80,51,91
48,13,27,91,65,12,30,36,89
49,69,83,92,61,27,17,84,78
50,98,38,94,25,40,25,29,38
51,57,20,95,73,21,77,21,14
52,13,63,43,15,48,79,47,7
53,14,65,69,76,2,11,99,71
54,6,45,26,6,88,89,90,40
55,70,10,26,44,39,40,58,62
56,44,93,93,5,75,27,71,85
57,66,49,38,16,10,14,44,32
58,84,74,51,75,39,91,99,46
59,7,18,25,5,38,63,88,9
60,20,32,73,18,50,4,56,14
61,27,37,59,100,50,86,24,89
62,46,11,85,73,78,63,46,91
63,26,26,56,55,75,90,29,14
64,87,28,31,1,12,36,60,78
65,31,55,32,98,19,58,29,73
66,23,24,53,32,41,27,30,26
67,99,45,26,63,16,56,91,74
68,23,26,97,78,72,71,83,9
69,90,77,38,92,17,40,4,43
70,98,84,64,56,73,58,35,48
71,30,29,8,32,0,13,6,73
72,59,91,57,25,8,72,72,32
73,51,26,2,36,35,54,86,59
74,33,85,45,46,8,37,57,13
75,5,48,43,74,14,96,32,66
76,73,41,39,58,20,12,51,33
77,75,4,98,11,8,60,1,45
78,11,78,98,74,74,57,37,96
79,76,83,35,93,23,75,51,76
80,52,23,77,33,19,56,78,26
81,64,74,7,91,85,74,10,58
82,82,42,39,16,9,29,88,8
83,47,16,17,64,83,99,79,82
84,26,97,9,49,62,71,56,32
85,100,12,95,19,14,58,99,98
86,18,96,7,55,86,48,59,20
87,41,42,35,9,58,96,42,71
88,53,96,81,74,36,78,27,68
89,27,59,51,1,55,56,25,79
90,36,38,67,10,87,55,66,77
91,23,83,59,31,61,17,75,55
92,3,87,74,89,95,100,85,70
93,68,41,60,0,63,84,51,77
94,20,81,67,75,88,43,63,69
95,100,48,66,95,1,17,31,40
96,89,56,38,54,64,28,55,62
97,50,59,33,92,18,1,98,66
98,79,79,42,78,43,84,40,3
99,77,43,5,86,75,22,13,96
100,24,81,84,24,83,88,74,7
101,9,37,98,16,4,74,9,37
102,21,58,91,74,28,85,46,10
103,83,3,26,36,7,91,2,47
104,71,2,8,31,45,93,67,96
105,39,87,91,25,17,0,94,48
106,68,76,50,65,53,89,82,13
107,51,71,71,34,0,19,28,97
108,28,86,56,3,84,11,19,33
109,12,79,50,98,100,56,83,52
110,23,16,71,30,37,40,62,66
111,5,76,36,84,32,31,89,73
112,66,63,96,40,86,13,5,11
113,2,14,67,39,77,56,42,76
114,51,6,93,86,46,6,87,81
115,20,86,95,80,86,13,18,64
116,41,77,36,68,30,30,45,14
117,93,39,10,29,35,7,88,95
118,90,36,43,66,87,8,13,6
119,54,14,29,0,86,76,42,5
120,3,76,7,36,73,86,61,7
121,48,4,90,45,3,54,82,60
122,83,38,89,60,15,71,51,89
123,25,65,26,68,17,33,2,18
124,31,63,15,12,28,76,73,15
125,41,84,14,99,82,66,88,71
126,92,55,16,94,99,15,51,52
127,59,99,0,24,6,61,22,62
128,73,61,49,45,23,87,77,37
129,56,18,84,71,16,36,86,23
130,21,31,33,31,40,62,98,34
131,20,62,11,100,70,44,58,30
132,43,85,90,53,43,96,0,2
133,43,95,53,73,5,9,59,97
134,57,94,40,78,53,55,73,52
135,76,82,32,58,57,7,6,83
136,26,4,28,29,77,77,64,84
137,85,41,32,88,40,30,25,67
138,12,10,30,74,2,52,0,19
139,45,69,15,85,49,71,5,72
140,49,21,65,16,30,31,50,26
141,51,49,57,72,82,62,86,7
142,18,32,60,29,34,67,72,39
143,32,87,95,22,30,54,22,67
144,72,53,22,58,52,63,17,8
145,32,75,56,36,16,82,75,78
146,64,82,70,48,43,71,57,39
147,9,15,63,85,72,26,78,9
148,70,53,55,21,46,12,1,82
149,56,70,63,33,86,19,89,54
150,92,40,16,68,21,99,32,0
151,45,100,84,34,48,3,76,3
152,33,79,11,34,53,92,92,84
153,40,24,79,14,51,10,49,89
154,92,40,20,71,57,71,51,19
155,87,47,66,38,35,93,39,98
156,63,59,15,35,100,20,85,15
157,57,1,66,27,99,63,25,39
158,6,95,49,38,44,98,61,83
159,52,96,89,9,16,94,89,71
160,84,76,26,66,45,86,12,94
161,64,16,34,65,18,47,59,43
162,71,95,66,83,57,93,20,30
163,11,50,18,93,18,28,5,54
164,91,65,67,23,23,36,21,84
165,9,68,67,81,30,64,64,100
166,65,44,72,63,88,98,95,39
167,72,45,76,59,74,35,37,94
168,45,46,83,76,67,34,56,48
169,65,11,32,88,3,31,1,65
170,90,13,76,84,45,79,98,33
171,64,79,56,76,54,93,36,13
172,71,18,37,32,52,82,90,32
173,7,97,42,18,59,3,28,81
174,83,21,6,64,33,4,61,29
175,58,89,25,9,59,50,90,53
176,21,85,62,19,13,90,3,87
177,84,22,81,78,86,29,3,31
178,3,43,70,17,8,91,77,94
179,24,37,46,16,21,70,77,66
180,77,85,29,94,21,65,32,53
181,6,64,85,70,37,78,70,88
182,67,54,67,28,30,42,61,20
183,13,65,63,94,24,47,25,69
184,26,83,81,44,33,98,38,59
185,71,56,59,56,24,67,66,37
186,64,15,25,88,46,96,63,29
187,39,0,66,15,43,13,59,14
188,26,18,65,100,15,100,57,52
189,77,15,66,69,41,10,30,42
190,56,2,56,75,3,91,0,90
191,29,16,10,50,29,99,44,85
192,64,86,35,58,45,79,11,11
193,74,46,31,69,87,87,5,37
194,66,86,19,74,3,81,21,55
195,88,100,1,94,31,72,3,42
196,90,11,61,41,34,81,43,31
197,28,98,74,11,40,96,56,39
198,78,26,16,98,69,41,21,33
199,69,57,66,63,21,80,85,59
200,26,30,87,54,13,4,61,86
201,93,52,82,86,56,77,47,96
202,28,20,36,61,46,52,47,54
203,39,62,30,1,83,15,62,71
204,94,10,25,74,1,17,4,83
205,54,83,52,59,88,20,32,89
206,13,32,29,84,22,3,29,4
