id,TR_41,TR_42,TR_43,CT_44,TR_45,TR_46,CT_47,CT_48
1,70,36,0,45,16,88,74,31
2,2,80,31,32,8,3,15,59
3,91,92,79,70,28,57,73,57
4,9,30,75,79,82,18,57,25
5,76,31,45,82,28,39,78,29
6,13,61,46,67,18,19,72,54
7,84,4,31,85,72,48,100,6
8,9,71,31,86,22,97,74,61
9,37,97,62,81,40,55,68,81
10,35,68,14,84,90,95,99,60
11,26,91,1,82,52,24,0,78
12,2,30,11,2,74,53,15,75
13,42,39,36,3,63,55,5,82
14,35,43,79,17,11,60,80,78
15,68,48,4,71,86,37,46,27
16,15,69,85,50,35,37,58,29
17,2,20,4,31,43,84,13,70
18,68,38,85,2,44,20,21,14
19,52,86,94,33,81,92,89,75
20,86,99,93,20,81,34,4,81
21,82,20,97,28,52,44,71,28
22,34,30,45,71,85,89,20,24
23,83,33,5,39,18,63,46,0
24,58,79,94,97,57,52,66,41
25,67,79,28,25,70,20,96,61
26,74,11,35,40,18,11,40,41
27,61,13,11,89,43,16,19,58
28,70,86,91,80,28,55,72,81
29,48,31,43,29,29,16,39,45
30,10,20,62,86,13,52,66,41
31,57,54,38,57,47,98,42,94
32,25,27,18,56,4,17,4,25
33,90,98,89,24,35,70,25,6
34,97,69,18,17,3,77,32,89
35,81,42,58,71,77,32,37,36
36,60,3,65,86,93,33,58,96
37,79,34,86,22,11,55,72,50
38,100,91,0,90,84,76,95,15
39,0,56,26,34,46,44,35,90
40,87,21,43,29,20,89,77,76
41,15,93,51,61,36,17,24,65
42,17,12,97,1,19,6,77,17
43,62,45,82,6,61,6,11,90
44,71,28,69,7,93,16,100,35
45,84,28,88,8,14,30,27,14
46,59,96,66,90,51,50,48,92
47,25,9,2,3,65,49,85,83
48,100,52,77,58,34,72,42,58
49,45,92,40,54,5,100,95,12
50,6,38,42,65,8,20,43,48
51,100,39,85,97,81,73,74,24
52,18,31,100,18,90,63,99,36
53,14,93,2,57,97,18,54,27
54,88,29,69,62,67,33,61,78
55,98,86,47,35,73,84,92,2
56,37,36,52,55,98,45,28,98
57,62,32,13,50,44,28,46,75
58,40,98,92,62,90,85,41,45
59,16,23,94,41,5,83,50,47
60,4,46,84,18,41,77,9,97
61,59,21,90,19,54,94,75,26
62,48,52,29,69,29,6,91,34
63,95,89,80,94,43,82,99,75
64,50,80,100,45,2,33,80,48
65,65,16,21,68,92,99,17,29
66,13,2,44,36,29,94,83,23
67,33,92,65,28,54,12,68,53
68,98,97,45,13,39,93,96,58
69,64,7,90,97,1,69,82,13
70,33,97,63,65,66,42,97,13
71,14,27,16,4,29,74,37,87
72,82,39,4,97,52,49,3,42
73,29,98,83,68,22,74,31,63
74,8,20,96,88,27,15,31,28
75,74,95,64,51,82,86,50,22
76,69,54,34,84,19,43,85,20
77,36,38,96,47,13,55,27,2
78,18,74,18,27,41,84,77,76
79,2,59,94,13,16,88,83,29
80,17,5,30,68,85,43,16,18
81,52,47,67,53,45,25,75,94
82,4,33,48,77,32,43,94,11
83,1,98,33,89,45,43,60,87
84,19,99,14,6,43,61,56,68
85,71,45,25,32,92,77,53,55
86,3,49,37,95,1,10,85,84
87,89,13,93,45,10,39,99,47
88,79,21,46,73,17,67,31,33
89,30,48,16,68,13,20,53,29
90,67,98,31,89,87,85,99,51
91,20,21,67,63,79,45,100,49
92,49,32,79,57,70,26,66,34
93,48,52,81,95,30,1,86,51
94,3,75,26,28,18,84,5,0
95,90,99,66,99,49,33,83,92
96,70,18,4,75,47,1,70,99
97,24,54,21,93,46,47,73,20
98,77,97,27,100,69,25,77,74
99,27,71,88,54,27,77,98,89
100,2,4,55,30,61,21,33,78
101,7,90,24,46,0,94,29,69
102,6,67,34,71,72,94,48,66
103,77,40,35,24,34,38,46,54
104,36,37,7,21,68,89,47,88
105,82,90,14,95,34,33,62,44
106,91,51,40,59,37,29,14,27
107,82,47,84,67,90,100,1,27
108,13,87,0,1,36,62,89,69
109,12,75,38,29,5,72,72,27
110,44,83,56,93,6,0,6,98
111,73,78,25,37,22,60,27,70
112,60,27,95,24,45,53,37,26
113,74,48,65,35,97,98,67,42
114,3,89,80,51,3,65,51,36
115,91,5,48,11,36,4,99,32
116,69,25,49,41,94,0,63,45
117,33,34,72,76,45,3,39,68
118,25,33,30,86,17,54,31,5
119,85,43,61,8,25,28,28,13
120,93,17,15,29,58,30,54,56
121,63,89,16,25,71,31,57,17
122,22,21,94,73,58,81,99,14
123,68,50,37,8,75,13,96,54
124,51,53,10,89,53,15,15,54
125,20,90,93,66,29,13,59,34
126,3,57,72,79,66,84,34,39
127,48,10,24,82,95,51,90,53
128,19,83,45,8,66,4,57,70
129,49,1,31,42,60,52,14,4
130,32,19,39,78,6,44,10,70
131,78,69,81,51,14,11,50,55
132,22,51,26,23,61,97,48,27
133,80,71,76,69,46,89,82,77
134,99,62,32,21,13,90,0,76
135,36,21,36,95,81,6,25,72
136,44,46,18,71,71,66,19,28
137,58,51,10,68,0,31,12,76
138,92,16,25,60,47,39,31,81
139,57,9,71,25,2,56,100,34
140,28,45,69,27,8,54,95,91
141,74,66,91,66,57,34,36,85
142,34,70,39,32,92,63,71,35
143,72,100,70,9,76,40,42,71
144,24,76,41,6,57,66,49,38
145,9,41,0,15,71,84,63,68
146,62,96,91,70,93,15,50,70
147,17,75,66,17,24,63,79,10
148,44,43,36,17,89,72,51,73
149,19,90,11,17,63,18,63,73
150,38,53,58,45,74,95,15,47
151,15,63,57,16,22,7,18,97
152,63,7,99,94,94,81,40,67
153,70,49,50,75,45,4,2,43
154,29,14,33,2,27,97,65,15
155,38,34,28,87,15,17,29,91
156,6,60,26,5,60,82,23,13
157,19,15,16,38,4,24,29,42
158,76,62,9,70,60,24,63,38
159,98,23,61,36,73,70,32,58
160,28,26,34,60,57,74,57,89
161,35,12,66,96,66,45,65,54
162,69,91,31,90,70,96,62,25
163,0,62,99,28,31,95,82,51
164,34,6,14,99,81,29,45,11
165,90,24,43,88,45,82,32,82
166,18,87,42,54,26,1,14,31
167,46,25,32,57,19,75,57,63
168,64,57,33,57,67,87,60,83
169,59,34,53,92,59,0,16,54
170,41,15,99,71,46,1,88,37
171,56,63,1,94,18,7,46,95
172,71,25,2,6,20,42,95,83
173,85,58,39,52,33,2,78,52
174,86,48,67,10,87,72,58,90
175,37,74,39,70,65,84,77,59
176,94,18,90,7,47,57,12,27
177,63,40,45,13,78,66,5,23
178,97,9,49,93,85,57,75,81
179,96,44,97,60,92,0,30,14
180,23,35,10,20,24,59,69,34
181,32,79,6,21,24,21,91,34
182,66,61,70,84,93,12,3,10
183,13,47,55,38,31,86,8,49
184,32,97,3,4,0,34,20,44
185,78,100,32,31,91,45,69,86
186,20,60,62,69,49,1,10,36
187,17,69,67,63,2,23,75,45
188,65,30,93,59,1,79,65,47
189,91,20,39,25,15,27,50,18
190,46,24,74,37,2,50,28,87
191,42,80,13,9,66,31,60,19
192,44,81,4,9,47,21,47,21
193,97,44,77,37,6,3,9,90
194,11,68,30,43,89,95,92,33
195,59,99,77,29,47,91,58,9
196,95,49,8,14,86,76,63,83
197,16,9,95,35,57,42,93,25
198,14,58,54,59,88,63,88,34
199,28,71,6,39,44,8,79,44
200,59,20,14,49,87,45,93,61
201,92,63,56,70,61,98,76,77
202,5,93,25,52,45,25,91,88
203,26,20,70,54,24,95,59,99
204,65,44,66,99,94,73,46,54
205,57,69,6,87,49,61,81,91
206,61,84,5,23,79,14,94,100
207,59,77,26,13,55,20,96,39
